,,,,,,,
,,,,,,,
,,,,,,,
,2 Dimensions,Function,Algorithm,Best,Worst,Mean,Std
,,Ackley,PSO,"0,000","0,000","0,000","0,000"
,,,BBPSO,"0,000","0,000","0,000","0,000"
,,,GA,"0,000","7,639","0,495","1,622"
,,,CMA-ES,"0,000","0,000","0,000","0,000"
,,Rastrigin,PSO,"0,000","0,000","0,000","0,000"
,,,BBPSO,"0,000","0,995","0,199","0,398"
,,,GA,"0,000","1,990","0,166","0,461"
,,,CMA-ES,"0,000","0,995","0,398","0,487"
,,Rosenbrock,PSO,"0,000","2,477","0,083","0,445"
,,,BBPSO,"0,000","0,238","0,019","0,046"
,,,GA,"0,000","0,989","0,322","0,347"
,,,CMA-ES,"0,000","0,440","0,104","0,122"
,,Griewank,PSO,"0,000","0,008","0,004","0,004"
,,,BBPSO,"0,000","0,047","0,010","0,010"
,,,GA,"0,000","1,572","0,244","0,363"
,,,CMA-ES,"0,000","0,000","0,000","0,000"
,,Schwefel,PSO,"0,000","236,877","82,907","69,399"
,,,BBPSO,"0,000","118,438","23,688","47,375"
,,,GA,"0,020","331,234","119,129","88,968"
,,,CMA-ES,"830,075","830,075","830,075","0,000"
